2238517
5116
84            998243          
1            1          'reagan
1            1          'real'
1            2          'really
1            1          'recognize
1            1          'record
1            1          'reinforcement
1            1          'relevant'
1            1          'religious
1            1          'remains
1            1          'rendezvous
1            1          'reset'
1            1          'respectfully
1            1          'restarting
1            1          'restrain
1            2          'rick
2            2          'right
1            1          'rocketed
1            1          'roger
1            1          'rolling
1            1          'rule
1            1          'russia
1            2          'safety
1            1          'safety';
1            1          'sanders
1            1          'santana
1            1          'satisfied'
1            1          'saturday
1            1          'school's
1            2          'scott
1            1          'secretary
1            1          'security
1            2          'seemed
1            1          'sensational
3            12          'she
1            1          'she's
3            3          'should
1            1          'shut
1            1          'silly'as
1            1          'silver
1            1          'since
1            1          'slide'
1            2          'smart'
1            1          'snap
9            32          'so
2            2          'social
4            9          'some
1            1          'somewhat
1            1          'sophisticated''scott
1            1          'sophomoric'
1            1          'souls
1            1          'space
1            1          'special
1            2          'specific
1            1          'stability
2            2          'stand
1            2          'star
1            1          'stare
1            1          'starvation
1            1          'states
1            1          'stickiness'
1            1          'stone's
1            1          'stood
2            2          'stop
2            2          'strategic
1            1          'strengthen
1            1          'subsequent
11            14          'super
1            1          'supporting
1            1          'sustainable
1            1          'sworn
1            1          'sycophants'
1            1          'take
1            2          'taken'
1            1          'taken''we
3            3          'taking
1            1          'talking
1            1          'tear
1            1          'tells
1            1          'texts
1            1          'thanks
10            25          'that
11            17          'that's
51            260          'the
2            3          'their
3            3          'then
9            33          'there
6            11          'there's
16            34          'they
1            1          'they'd
5            7          'they're
1            3          'think
14            27          'this
1            1          'timid
14            28          'to
1            1          'today'
1            1          'today's
1            2          'tonight
1            2          'too
1            1          'tried
1            1          'trump's
2            3          'two
1            1          'tyranny'
1            1          'ultimately
1            1          'unborn'
1            1          'under
1            1          'undercard'
1            1          'unique
1            1          'units
1            1          'unleashing
2            2          'unless
1            3          'unlike
1            1          'unprecedented
1            1          'until
1            1          'urgency''our
1            1          'useless
4            4          'very
1            1          'victim-blaming'
2            2          'vigorously
1            1          'vision
1            1          'vision'
1            1          'voicing
1            1          'voters
1            1          'wallace
4            4          'war
1            3          'was
1            1          'washington
36            113          'we
1            1          'we'll
11            18          'we're
5            8          'we've
3            6          'well
1            2          'west
11            21          'what
1            2          'what's
1            1          'whatever
1            1          'wheel
8            17          'when
1            1          'where
1            2          'whether
1            1          'which
3            5          'white
5            5          'who
4            4          'why
1            1          'wild
2            6          'will
1            1          'winnebago
1            4          'with
1            1          'within
1            1          'woe
1            1          'woke
1            1          'work'
2            3          'working
1            1          'workplace
2            2          'would
2            2          'wow
1            1          'y'
1            1          'y'all
4            7          'yes
1            2          'yes'
15            48          'you
1            1          'you'll
3            5          'you're
1            2          'you've
4            7          'your
1            1          'zero
132            2358          -
1            1          -–
1            2          02
19            1108          1
26            133          10
9            37          100
2            21          1000
4            14          10000
5            8          100000
1            1          1006
1            1          107
2            2          109
1            2          10th
17            65          11
1            1          11-person
1            1          111
1            2          113
1            1          114
1            1          11at
1            1          11th-hour
11            101          12
1            1          120
2            2          1200
1            1          1214
1            1          1219
1            1          1251
1            1          127
1            1          12experiencing
6            64          13
1            1          13-hour
1            3          130
1            1          132
2            2          137
13            76          14
1            1          14-year-old
1            1          140-year-old
1            1          1400
1            1          145
1            1          146
1            1          148
1            1          148000
3            5          14th
14            60          15
2            3          15-year-old
2            3          1500
1            1          15000
1            1          150000
1            1          15014
3            3          15th
11            200          16
1            2          16-
1            1          16-year-old
1            2          160
1            1          1600
1            3          162
1            1          1625
1            1          164
1            1          168
1            5          16th
16            41          17
1            2          17-year-old
1            1          17-year-oldsfor
2            2          17000
17            38          18
1            4          18-
1            1          18-month-old
1            1          18-point
1            1          18-year
2            2          18-year-old
1            2          180
1            1          1800
1            1          183000
1            2          186
7            94          19
3            3          19-year-old
1            1          1900
1            1          1916the
1            1          1920
1            1          1923
2            2          1924
1            1          1928
1            2          1930
1            1          1930shundreds
1            1          1932
1            1          1935
1            1          194
1            1          1940
1            1          1940s
1            1          1950s
1            1          1954
4            10          1960
4            7          1960s
1            1          1960smoving
1            1          1961
1            1          1962
3            8          1964
4            5          1965
1            1          1966
1            2          1968
1            1          1968:
1            1          1968but
4            7          1970
2            4          1970s
1            1          1970sthe
1            1          1971
3            3          1972
1            1          1975
2            3          1976
2            2          1977
2            2          1978
3            3          1979
4            7          1980
2            2          1980s
1            0          1980s?ultimately
4            6          1981
1            1          1981-82
1            1          1981the
2            3          1982
1            2          1983
1            1          1983-5
3            3          1984
2            3          1986
4            5          1987
5            6          1988
1            1          1989
2            4          1990s
1            1          1990s-vintage
1            1          1990sin
1            1          1991
4            5          1992
1            40          1992?
3            3          1993
3            9          1994
1            1          1994like
2            3          1995
1            1          1995writing
3            5          1996
1            1          1996;
1            1          1996at
1            2          1997
1            1          1997-2000
4            5          1998
3            3          1999
1            1          1999a
1            1          19th
1            1          1:51
1            1          1malaysia
1            3          1mdb
12            1079          2
19            675          20
1            1          20-week
3            162          200
11            25          2000
1            1          2000'
3            8          20000
1            1          200000
8            9          2001
4            6          2002
1            1          2002-2003
7            10          2003
1            1          2003in
12            18          2004
5            8          2005
2            2          2005the
4            7          2006
1            1          2006'this
8            11          2007
40            72          2008
1            1          2008'but
1            1          2008'whether
1            1          2008-9
1            1          2008:
1            1          2008annette
1            1          2008back
1            1          2008the
1            1          2008whether
9            13          2009
1            1          2009'
19            33          2010
1            1          2010the
17            26          2011
1            2          2011-13
50            72          2012
1            1          2012"we
1            1          2012after
1            1          2012i'm
1            1          2012the
26            42          2013
28            45          2014
1            1          2014'doug
1            1          2014conservatives
1            1          2014the
11            21          2015
1            1          2015'the
1            1          2015-16
94            181          2016
1            1          2016"washington
4            8          2016'
1            1          2016'if
1            1          2016'nonetheless
1            1          2016'right
1            1          2016'they're
2            2          2016:
1            1          2016;
1            0          2016?third
1            1          2016an
1            1          2016but
1            1          2016call
1            1          2016mass
1            1          2016party
3            4          2016the
1            1          2016trump
1            1          2016univision
1            1          2016white
7            15          2017
1            1          2017'he's
1            1          2017'the
1            1          2017a
1            1          2017bach
1            1          2017the
1            1          2017where
3            4          2018
1            1          2018mr
3            3          2019
3            4          2020
1            1          2020'
1            2          2022
1            1          2022that
2            5          2024
2            5          2025
1            1          2025for
1            1          203
1            1          2055
1            1          20900
1            1          20mr
2            2          20s
1            2          20th
1            1          20the
1            1          20toronto
8            14          21
1            1          21-hour
1            2          21000
1            1          215
2            4          21st
2            2          21st-century
6            19          22
1            1          2200
1            1          225
1            1          229
7            13          23
1            1          23-plus
1            1          230-some-odd
1            2          23the
13            30          24
1            1          24-hour
1            1          24-to-18
1            1          244
1            1          245
1            1          247
1            1          24china
1            1          24the
9            24          25
1            2          25th
8            15          26
1            1          26-year-old
1            1          2631
1            1          267
8            23          27
1            1          27-year-old
1            1          27000
1            1          273
9            21          28
1            1          28-minute
1            1          28-year-old
1            1          2800
1            1          283
8            17          29
1            1          29-30
1            1          29-year-olds
2            2          290
1            1          2943
1            1          2:24
2            3          2nd
3            117          3
19            54          30
2            2          30-year-old
1            13          300
1            1          300-person
2            12          3000
2            4          30000
3            3          300000
1            1          30for
1            2          30s
3            8          31
1            1          31"you
1            1          31000
1            1          31bach
1            12          32
1            1          32-year-old
2            2          32nd
2            3          33
1            1          3350
1            1          33rd
1            4          34
1            1          3400
1            1          3402
1            1          34th
7            16          35
1            2          350
1            1          3500
1            1          353000
2            6          36
1            1          360'
1            1          3600
1            1          360000
1            1          37th
1            1          38
4            5          39
2            2          396
1            1          3mrs
1            5          3rd
9            303          4
10            46          40
1            1          400-year
2            6          4000
1            9          40000
1            1          40000-troop
2            2          400000
1            1          40th
1            1          40you
4            7          41
1            2          4100
1            1          41000
1            1          42
2            3          420000
2            5          43
1            1          43-minute
1            1          43rd
5            9          44
1            1          44-year-old
8            21          45
2            2          45-minute
2            4          450000
1            1          450000but
1            7          46
1            1          46-48
1            1          46-year-old
1            1          46he
6            13          47
1            1          47000
1            1          477
6            11          48
3            6          49
2            2          490000
1            1          4:05
1            9          4th
1            3          4the
5            333          5
1            3          5-year-old
12            65          50
1            1          50-plus-year
3            3          50-year-old
2            25          500
1            14          5000
2            14          50000
1            1          500000
1            1          501c4
1            1          505
6            11          51
1            1          51-41
5            6          52
1            1          52-45
7            13          53
1            1          53-46
1            1          53-year-old
4            6          54
4            12          55
1            1          55-43
1            1          55-44
2            2          55-year-old
1            1          55000
1            2          56-year-old
2            4          57
1            1          57-28the
1            1          570000gen
5            6          58
1            1          58-year-old
9            9          59
15            421          6
1            1          6-foot-8
9            41          60
1            1          60-32
1            1          60-second
1            1          60-vote
2            2          60-year-old
1            7          600
1            10          60s
